Model tag,Model,chart_count,N,Exec,Low,High,Relation,Edge,Preserve,Overall
openrouter_gpt5_4_none,GPT-5.4,2,49,0.9795918367346939,0.23394935923738377,0.2973937482213946,0.26124493468621457,0.20484344539217086,0.767146707646873,0.27461241133637704
openrouter_gpt5_4_none,GPT-5.4,3,50,0.98,0.18698626276618524,0.3102437860757693,0.29086968998849566,0.2401730721365004,0.8159456685275223,0.26010378514622107
openrouter_gpt5_4_none,GPT-5.4,4,50,0.94,0.17528947607019796,0.2290041389195663,0.157726397650829,0.09587680127090084,0.7105370423400557,0.20650362643513823
openrouter_gpt5_4_none,GPT-5.4,5,50,1.0,0.2293453573838316,0.26227639843923484,0.11967365364476196,0.050272720592198276,0.7864565495523541,0.2482129211987775
openrouter_gpt5_4_none,GPT-5.4,6,50,1.0,0.3351778778603917,0.34225277121151637,0.1899224802996099,0.06271877024104086,0.7751644751309874,0.34007856612555054
openrouter_gpt5_4_none,GPT-5.4,7,49,1.0,0.29503875576837607,0.3130510873943574,0.18068482832690025,0.06157743692691264,0.7857399478699405,0.30567322076121256
openrouter_gpt4_1,GPT-4.1,2,49,0.8571428571428571,0.17068033422933632,0.2130822499331181,0.19179860214106187,0.1808032884375058,0.5878916847666534,0.1994683545891635
openrouter_gpt4_1,GPT-4.1,3,50,0.94,0.1387129079473549,0.22341111826709115,0.20265786911399278,0.16561512242413892,0.6620699316358727,0.1885210714407532
openrouter_gpt4_1,GPT-4.1,4,50,0.9,0.1268375571122486,0.1852169163938046,0.09291665486623828,0.055957428051794,0.5988230621539377,0.16131447953403946
openrouter_gpt4_1,GPT-4.1,5,50,0.84,0.1537819778154506,0.18212998027213284,0.11808614054855665,0.043285610979006274,0.6125253303056136,0.17076288631863767
openrouter_gpt4_1,GPT-4.1,6,50,0.84,0.2090732655082098,0.21524974122394036,0.0863426570165877,0.05505946970259099,0.5859785065962754,0.2129367740813042
openrouter_gpt4_1,GPT-4.1,7,49,0.8163265306122449,0.15182467528684243,0.15726346852001555,0.024924983221513212,0.0,0.5737393163404386,0.15511088796549366
openrouter_claude_sonnet_4_vertex,Claude Sonnet 4,2,49,0.9591836734693877,0.1574944518119108,0.203968943965333,0.17234703063863546,0.13517864163777474,0.6397846776316033,0.18799482714715116
openrouter_claude_sonnet_4_vertex,Claude Sonnet 4,3,50,0.98,0.17894836862860836,0.25586178927459047,0.2693885936601994,0.22505299454274708,0.7001780649415555,0.2255138715295295
openrouter_claude_sonnet_4_vertex,Claude Sonnet 4,4,50,0.96,0.12898330261505475,0.14178994988307198,0.11151761997712561,0.0761596602584074,0.6071317418690575,0.13688554148036133
openrouter_claude_sonnet_4_vertex,Claude Sonnet 4,5,50,0.86,0.16183577382564512,0.11203286877197359,0.07425767530027132,0.026908276166185973,0.6061163181783832,0.1347844776073811
openrouter_claude_sonnet_4_vertex,Claude Sonnet 4,6,50,0.96,0.2143496633008164,0.13346560925765988,0.14127119748196612,0.07577074647502573,0.6335900967167726,0.1697863669228711
openrouter_claude_sonnet_4_vertex,Claude Sonnet 4,7,49,0.8163265306122449,0.12072916698604991,0.11563998337206371,0.03239040297958419,0.006991368062431379,0.53928160588267,0.11831127072562259
qwen3_5_122b_a10b,Qwen3.5-122B-A10B,2,49,0.7959183673469388,0.1401357290928151,0.1794109837016766,0.14143517154852198,0.13098241670044483,0.5640171039669367,0.16617438698541148
qwen3_5_122b_a10b,Qwen3.5-122B-A10B,3,50,0.6,0.12087658995659377,0.178489757132064,0.1659423164769574,0.1346914482816379,0.48942468774675596,0.15551135952236472
qwen3_5_122b_a10b,Qwen3.5-122B-A10B,4,50,0.56,0.10039593353134497,0.13319608254795498,0.10410759789994076,0.08142802893739107,0.38714133639886833,0.12023332234998423
qwen3_5_122b_a10b,Qwen3.5-122B-A10B,5,50,0.64,0.1025282402957192,0.10088637395930386,0.08209606104991161,0.03502649293785012,0.46458664613517564,0.10190769530360337
qwen3_5_122b_a10b,Qwen3.5-122B-A10B,6,50,0.52,0.09717900835296017,0.0988958152932321,0.021355572359980722,0.0,0.3659993893174783,0.09851312595553942
qwen3_5_122b_a10b,Qwen3.5-122B-A10B,7,49,0.6122448979591837,0.1304012250584201,0.14137626450226587,0.10304751597124288,0.04188620064575148,0.4465337014938819,0.13709681931162873
glm_4_5v,GLM-4.5V,2,49,0.8571428571428571,0.12943695086719953,0.16258136270072,0.15006791126586436,0.14373303042871113,0.5316090339932372,0.15126863817259673
glm_4_5v,GLM-4.5V,3,50,0.8,0.09596872538162918,0.15677029609022056,0.11736273919866959,0.08042046403061545,0.556812388739727,0.13249863305758056
glm_4_5v,GLM-4.5V,4,50,0.78,0.12116257533863165,0.10379417782852075,0.05366267317034186,0.039079786109194534,0.4761178066240652,0.11233268573356553
glm_4_5v,GLM-4.5V,5,50,0.78,0.12944993530354992,0.1060583360376308,0.0975290220370791,0.06425638693403327,0.5459977576047887,0.11767109091417245
glm_4_5v,GLM-4.5V,6,50,0.68,0.12316344772806731,0.08964035429065699,0.04096714763041952,0.014695338889375806,0.4363107596567509,0.10486648300651036
glm_4_5v,GLM-4.5V,7,49,0.6938775510204082,0.08639666169750934,0.09005594001186902,0.016358598097322385,0.0,0.47387216969969664,0.08857395463719064
qwen3_vl_32b,Qwen3-VL-32B,2,49,0.8775510204081632,0.12213381128391869,0.15058064406354066,0.13721666928961934,0.11234183606756676,0.545667096987706,0.14047534316279875
qwen3_vl_32b,Qwen3-VL-32B,3,50,0.62,0.09242708932696043,0.15148419511068412,0.16052323685507044,0.12372761902883074,0.4519947539431409,0.12817070081912135
qwen3_vl_32b,Qwen3-VL-32B,4,50,0.6,0.06885666399693995,0.09046247436635159,0.07236333884610766,0.04601095916029833,0.37887916570767294,0.0821828790322564
qwen3_vl_32b,Qwen3-VL-32B,5,50,0.56,0.08437108386705118,0.08694033497013752,0.053126082837347405,0.019120078942690313,0.39164384884980213,0.0863706654901468
qwen3_vl_32b,Qwen3-VL-32B,6,50,0.64,0.12497306997693416,0.10999477195890611,0.012939600770834225,0.0,0.4129071055375938,0.11707400065903029
qwen3_vl_32b,Qwen3-VL-32B,7,49,0.1836734693877551,0.035365300677137605,0.040701455812676535,0.004267722378985919,0.0,0.13269888976473837,0.038498418402816675
qwen3_vl_8b,Qwen3-VL-8B,2,49,0.7142857142857143,0.08199597239531152,0.09044962258206994,0.10139255209375368,0.06676260190093543,0.40302312352560626,0.08798710347089
qwen3_vl_8b,Qwen3-VL-8B,3,50,0.44,0.044957672454963744,0.09758664244460163,0.12838989530379777,0.08697047774859266,0.31308795933570904,0.07813234256539527
qwen3_vl_8b,Qwen3-VL-8B,4,50,0.24,0.024187178158635293,0.03447242835316826,0.024549306336306302,0.014685248542529639,0.15553536384946864,0.030488649013372206
qwen3_vl_8b,Qwen3-VL-8B,5,50,0.3,0.02660081884335574,0.024214188000471034,0.01884664828703878,0.0,0.2032197318772975,0.025718261580921043
qwen3_vl_8b,Qwen3-VL-8B,6,50,0.28,0.02148214105943075,0.01937365220354395,0.02027788226144054,0.0,0.18076172007901484,0.020627518547813493
qwen3_vl_8b,Qwen3-VL-8B,7,49,0.16326530612244897,0.004882174540787875,0.010754970551505824,0.01329767492666129,0.0026989223921591726,0.1078409985119532,0.008541369725797025
