Model tag,Model,instruction_type,N,Exec,Low,High,Relation,Edge,Preserve,Overall
openrouter_gpt5_4_none,GPT-5.4,complex_relation,48,1.0,0.17726062753807678,0.2747520241713665,0.19390123324035125,0.1126623081253702,0.7726420217995634,0.24063003534971514
openrouter_gpt5_4_none,GPT-5.4,multi_chart_relation,52,1.0,0.24331558407804812,0.29878845694802936,0.2657467027498716,0.2159797548405898,0.785326830597258,0.27937295144353597
openrouter_gpt5_4_none,GPT-5.4,multi_step,89,0.9550561797752809,0.16743980969650119,0.24021011325510516,,,0.7630236163731369,0.20746347665373338
openrouter_gpt5_4_none,GPT-5.4,single_step,109,0.9908256880733946,0.3320853466278695,0.3394206851031992,,,0.7767313651671937,0.33611978278930094
openrouter_gpt4_1,GPT-4.1,complex_relation,48,0.7291666666666666,0.08731088300641399,0.15360470785546215,0.10077167585426215,0.0781443209080705,0.510853540307943,0.1304018691582953
openrouter_gpt4_1,GPT-4.1,multi_chart_relation,52,0.9807692307692307,0.16355345116890604,0.22827244916038947,0.2064660821779907,0.17255515687049794,0.6742015971496851,0.20562079986337023
openrouter_gpt4_1,GPT-4.1,multi_step,89,0.8651685393258427,0.11466802550805381,0.17536450622582872,,,0.6111737827097659,0.14805108990283003
openrouter_gpt4_1,GPT-4.1,single_step,109,0.8715596330275229,0.22313646578117594,0.21648342774817253,,,0.6047324856981505,0.21947729486302406
openrouter_claude_sonnet_4_vertex,Claude Sonnet 4,complex_relation,48,0.8541666666666666,0.09559896318997224,0.16043828149025813,0.10852690319009432,0.06566600561198159,0.5647820488775218,0.13774452008515806
openrouter_claude_sonnet_4_vertex,Claude Sonnet 4,multi_chart_relation,52,0.9423076923076923,0.19544722814695745,0.23750985270760622,0.22041054328016882,0.18303967975842236,0.6416004343317818,0.22278793411137915
openrouter_claude_sonnet_4_vertex,Claude Sonnet 4,multi_step,89,0.9550561797752809,0.13293977996582246,0.13389420559919918,,,0.6453226724080526,0.13346471406417967
openrouter_claude_sonnet_4_vertex,Claude Sonnet 4,single_step,109,0.9174311926605505,0.1950015250081435,0.145414808699455,,,0.616684222034839,0.16772883103836483
qwen3_5_122b_a10b,Qwen3.5-122B-A10B,complex_relation,48,0.7708333333333334,0.0899532683452397,0.14241482812919778,0.09304231936642882,0.06439255858034824,0.5421930973469345,0.12405328220481245
qwen3_5_122b_a10b,Qwen3.5-122B-A10B,multi_chart_relation,52,0.6730769230769231,0.12530260150102837,0.17699047290802902,0.16008830108069663,0.13956370049887898,0.490664635552335,0.15889971791557875
qwen3_5_122b_a10b,Qwen3.5-122B-A10B,multi_step,89,0.5730337078651685,0.09422079114344906,0.11426680973405423,,,0.4332132344662265,0.10524610136828193
qwen3_5_122b_a10b,Qwen3.5-122B-A10B,single_step,109,0.5688073394495413,0.13840510816375676,0.13837444220982661,,,0.4108145399873908,0.1383882418890952
glm_4_5v,GLM-4.5V,complex_relation,48,0.7708333333333334,0.058970664192442096,0.10495571650951323,0.06359258097885298,0.046183577595664084,0.5091680156808509,0.08886094819853833
glm_4_5v,GLM-4.5V,multi_chart_relation,52,0.8076923076923077,0.11788444976573868,0.15938532780081927,0.14856075338986846,0.12837317301841536,0.5244353409989648,0.1448600204885411
glm_4_5v,GLM-4.5V,multi_step,89,0.797752808988764,0.11946052015328257,0.11235782271361254,,,0.5244100528906869,0.1155540365614641
glm_4_5v,GLM-4.5V,single_step,109,0.7155963302752294,0.13275698752813628,0.10886815032713368,,,0.4738286001864421,0.11961812706758485
qwen3_vl_32b,Qwen3-VL-32B,complex_relation,48,0.7291666666666666,0.037749052154080295,0.0923271162775743,0.048932841929040176,0.033923056105828915,0.486162298759331,0.0732247938343514
qwen3_vl_32b,Qwen3-VL-32B,multi_chart_relation,52,0.8076923076923077,0.14731237241632275,0.17834451397404757,0.16672773438954056,0.12930703046963685,0.5096015680664034,0.16748326442884387
qwen3_vl_32b,Qwen3-VL-32B,multi_step,89,0.47191011235955055,0.056887976240397584,0.07996937801937365,,,0.33419604146635445,0.0695827472188344
qwen3_vl_32b,Qwen3-VL-32B,single_step,109,0.4954128440366973,0.10746444119308277,0.09627541983981935,,,0.3250702521318703,0.10131047944878793
qwen3_vl_8b,Qwen3-VL-8B,complex_relation,48,0.5208333333333334,0.03774509969327796,0.07314762247089607,0.04669343251560965,0.007108545053048741,0.32552271548920125,0.060756739498729735
qwen3_vl_8b,Qwen3-VL-8B,multi_chart_relation,52,0.6153846153846154,0.08071741806108873,0.11865183125754629,0.1083425006492899,0.08981618870928633,0.3882390414772953,0.10537478663878616
qwen3_vl_8b,Qwen3-VL-8B,multi_step,89,0.2247191011235955,0.017051045087764827,0.022749935433271577,,,0.1540115903571193,0.020185434777793543
qwen3_vl_8b,Qwen3-VL-8B,single_step,109,0.26605504587155965,0.023778038425900185,0.018675644551173095,,,0.16644063022780065,0.020971721794800294
