Model tag,Model,split,N,Exec,Low,High,Relation,Edge,Preserve,Overall
openrouter_gpt5_4_none,GPT-5.4,real,58,0.9482758620689655,0.17379217133952884,0.21180913285025407,,,0.7690401763168767,0.19470150017042773
openrouter_gpt5_4_none,GPT-5.4,synthetic,240,0.9916666666666667,0.25908508500674954,0.31173217488400606,0.23126087738530188,0.16638738041728435,0.7745512611312123,0.29119272461742274
openrouter_gpt4_1,GPT-4.1,real,58,0.8620689655172413,0.10474203595658237,0.13320251231412544,,,0.6020790206165487,0.12039529795323109
openrouter_gpt4_1,GPT-4.1,synthetic,240,0.8666666666666667,0.17144996999989248,0.21133992624096976,0.155732767142601,0.1272379556085327,0.6040382391378024,0.196117567385948
openrouter_claude_sonnet_4_vertex,Claude Sonnet 4,real,58,0.9310344827586207,0.14521282046712375,0.11078771009568897,,,0.6274885418893028,0.12627900976283457
openrouter_claude_sonnet_4_vertex,Claude Sonnet 4,synthetic,240,0.9208333333333333,0.16423528813547142,0.17246942130561357,0.16670639603693307,0.12670031616813077,0.6197113481162847,0.170972204610536
qwen3_5_122b_a10b,Qwen3.5-122B-A10B,real,58,0.603448275862069,0.0993115203489974,0.10832479690076098,,,0.46652281857921646,0.10426882245246735
qwen3_5_122b_a10b,Qwen3.5-122B-A10B,synthetic,240,0.625,0.11893846324999831,0.1458714099515699,0.1279062298578481,0.10348155237798422,0.44923445404124746,0.1359207190120269
glm_4_5v,GLM-4.5V,real,58,0.7931034482758621,0.08859105479822119,0.08121446456221783,,,0.5126589558891143,0.08453393016841933
glm_4_5v,GLM-4.5V,synthetic,240,0.7583333333333333,0.12052000010403256,0.12700811291941538,0.10777603063258104,0.08892216721549474,0.5012345632110491,0.1259073488895946
qwen3_vl_32b,Qwen3-VL-32B,real,58,0.41379310344827586,0.03766765139455873,0.0441952186773704,,,0.2790157866948177,0.04125781340010514
qwen3_vl_32b,Qwen3-VL-32B,synthetic,240,0.6208333333333333,0.10026720026500684,0.11980662096229636,0.11018618600850036,0.08352272277500905,0.4117844226020035,0.11277780599806998
qwen3_vl_8b,Qwen3-VL-8B,real,58,0.22413793103448276,0.009502276415693714,0.011195258183231867,,,0.137160781511331,0.010433416387839697
qwen3_vl_8b,Qwen3-VL-8B,synthetic,240,0.3875,0.03986369872324132,0.05455019016252919,0.07875094794512337,0.05011651975429229,0.24878023087190726,0.04947123175632526
