model,metric,observed,mean,ci_low,ci_high
glm_4_5v,overall_score,0.11785480430627858,0.1179166658896173,0.10154211037508308,0.13529390013962658
glm_4_5v,code_executability,0.7651006711409396,0.7651846771019827,0.7142857142857143,0.8137971130713711
glm_4_5v,low_level_edit_accuracy,0.11430564162169343,0.11437700450277224,0.09687056904790217,0.1330780456739188
glm_4_5v,high_level_score,0.11809525518546417,0.1181473309011519,0.10125589843755503,0.13601754117935957
glm_4_5v,relation_conditioned_fidelity,0.107776030632581,0.10796690962455878,0.07822192680696968,0.13842510229662588
glm_4_5v,relation_scope_accuracy,0.12034527291063854,0.12055581094296522,0.08640787219753038,0.15595296177337745
glm_4_5v,relation_edge_consistency,0.08892216721549474,0.08908355764694914,0.0615524628099167,0.11766471466870086
glm_4_5v,visual_structural_similarity,0.037178966561134806,0.03720032126144029,0.0303355622146301,0.044635461483443085
glm_4_5v,preservation_accuracy,0.5034581027255717,0.5033259941159024,0.46590733672362206,0.5397243854019291
openrouter_claude_sonnet_4_vertex,overall_score,0.16227352910326528,0.16226357284686968,0.1445378896721012,0.18021900934657392
openrouter_claude_sonnet_4_vertex,code_executability,0.9228187919463087,0.9228028364219862,0.8888888888888888,0.9531772575250836
openrouter_claude_sonnet_4_vertex,low_level_edit_accuracy,0.16053292865639698,0.1605310258171532,0.14155862867729452,0.18042623083767204
openrouter_claude_sonnet_4_vertex,high_level_score,0.1604642560365679,0.16043749728779885,0.14166160561605184,0.17993559776705204
openrouter_claude_sonnet_4_vertex,relation_conditioned_fidelity,0.16670639603693307,0.1666476752783553,0.1290387940297378,0.20499914595751367
openrouter_claude_sonnet_4_vertex,relation_scope_accuracy,0.19337711594946794,0.1932609968277504,0.14920270879383513,0.2378245171663694
openrouter_claude_sonnet_4_vertex,relation_edge_consistency,0.12670031616813074,0.12672769295426276,0.09211333819366141,0.16215586201315765
openrouter_claude_sonnet_4_vertex,visual_structural_similarity,0.05265813446190782,0.052669550304703466,0.04453668817178137,0.061309587978559205
openrouter_claude_sonnet_4_vertex,preservation_accuracy,0.6212250301257982,0.6211575017712425,0.5927724116451447,0.6479780745403977
openrouter_gpt4_1,overall_score,0.18137967601984878,0.18149966007932247,0.16205584594608013,0.20145488382783458
openrouter_gpt4_1,code_executability,0.8657718120805369,0.8660825417909522,0.8247422680412371,0.9044368600682594
openrouter_gpt4_1,low_level_edit_accuracy,0.15846654659548978,0.15859586458221042,0.13920006763702356,0.17874087895865412
openrouter_gpt4_1,high_level_score,0.19613197319480535,0.19624440309829327,0.17566970492939493,0.2173218680938682
openrouter_gpt4_1,relation_conditioned_fidelity,0.15573276714260098,0.15618309710661007,0.11859959521935795,0.19492482834947927
