model_a,model_b,metric,applicable_subset,observed_a_minus_b,ci_low,ci_high,p_value,significant_95,p_value_holm,significant_holm_05
glm_4_5v,openrouter_claude_sonnet_4_vertex,overall_score,all_samples,-0.0444187247969867,-0.06289152928257191,-0.02601438004579741,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_claude_sonnet_4_vertex,code_executability,all_samples,-0.15771812080536912,-0.2182410423452769,-0.09731543624161074,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_claude_sonnet_4_vertex,low_level_edit_accuracy,all_samples,-0.046227287034703565,-0.0671851933556609,-0.02542906789203482,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_claude_sonnet_4_vertex,high_level_score,all_samples,-0.04236900085110375,-0.06031516994366633,-0.024586325431431036,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_claude_sonnet_4_vertex,relation_conditioned_fidelity,relation_samples_only,-0.058930365404352036,-0.0962347185388567,-0.021356995579233068,0.0029997000299970002,True,0.032996700329967,True
glm_4_5v,openrouter_claude_sonnet_4_vertex,relation_scope_accuracy,relation_samples_only,-0.07303184303882938,-0.11571433828434514,-0.02830120435986498,0.0023997600239976003,True,0.0263973602639736,True
glm_4_5v,openrouter_claude_sonnet_4_vertex,relation_edge_consistency,relation_samples_only,-0.03777814895263601,-0.07375581881610083,-0.0023292960447228454,0.0365963403659634,True,0.2927707229277072,False
glm_4_5v,openrouter_claude_sonnet_4_vertex,visual_structural_similarity,all_samples,-0.015479167900773015,-0.023481508236993777,-0.007631408816286458,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_claude_sonnet_4_vertex,preservation_accuracy,all_samples,-0.11776692740022644,-0.15923353778212954,-0.07627794276184104,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_gpt4_1,overall_score,all_samples,-0.06352487171357013,-0.08288420069342342,-0.044543948994737334,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_gpt4_1,code_executability,all_samples,-0.10067114093959731,-0.15894039735099338,-0.041376573617952966,0.0013998600139986002,True,0.004199580041995801,True
glm_4_5v,openrouter_gpt4_1,low_level_edit_accuracy,all_samples,-0.04416090497379637,-0.06544569656699037,-0.022865654823087306,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_gpt4_1,high_level_score,all_samples,-0.0780367180093412,-0.09753870143622113,-0.05907661880528247,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_gpt4_1,relation_conditioned_fidelity,relation_samples_only,-0.047956736510019964,-0.08287257869893562,-0.014199544476294242,0.0071992800719928,True,0.071992800719928,False
glm_4_5v,openrouter_gpt4_1,relation_scope_accuracy,relation_samples_only,-0.0543840352546746,-0.0945804255409522,-0.015645960036488996,0.006399360063993601,True,0.063993600639936,False
glm_4_5v,openrouter_gpt4_1,relation_edge_consistency,relation_samples_only,-0.03831578839303801,-0.07121474680082537,-0.00628574815370346,0.019998000199980003,True,0.197980201979802,False
glm_4_5v,openrouter_gpt4_1,visual_structural_similarity,all_samples,-0.04508755557270988,-0.0557793715218045,-0.03505777564194907,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_gpt4_1,preservation_accuracy,all_samples,-0.10019881200205404,-0.1411250270137258,-0.05960232005873563,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_gpt5_4_none,overall_score,all_samples,-0.15455774911005116,-0.17752056498728488,-0.1316250633466398,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_gpt5_4_none,code_executability,all_samples,-0.2181208053691275,-0.2717846985385553,-0.1661336545911923,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_gpt5_4_none,low_level_edit_accuracy,all_samples,-0.12817880918136887,-0.1533613214448843,-0.10297136921165183,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_gpt5_4_none,high_level_score,all_samples,-0.17418881084633517,-0.1968233519052733,-0.15181901963631872,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_gpt5_4_none,relation_conditioned_fidelity,relation_samples_only,-0.12348484675272087,-0.16736636371389232,-0.07867535402192899,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_gpt5_4_none,relation_scope_accuracy,relation_samples_only,-0.15416460245334165,-0.2058568989308492,-0.10145463230318642,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_gpt5_4_none,relation_edge_consistency,relation_samples_only,-0.07746521320178962,-0.12130625505404563,-0.034785888848614006,0.00019998000199980003,True,0.004199580041995801,True
